"","GeneID","log2FoldChange"
"278","FBgn0262972",2.10785561280816
"279","FBgn0036369",2.0981607362162
"280","FBgn0038725",2.09620449521864
"281","FBgn0033979",2.08704433275899
"282","FBgn0052532",2.08629921399817
"283","FBgn0029955",2.0823635241426
"284","FBgn0034861",2.08116537611461
"285","FBgn0029939",2.07716276813934
"286","FBgn0038165",2.07193416764171
"287","FBgn0263772",2.07037008027015
"288","FBgn0034143",2.06978553530293
"289","FBgn0050172",2.06918437864812
"290","FBgn0052557",2.06375734360206
"291","FBgn0025878",2.05920987969457
"292","FBgn0029896",2.05814489517579
"293","FBgn0052105",2.05541834810268
"294","FBgn0051760",2.04996261202952
"295","FBgn0039203",2.04689656471388
"296","FBgn0038730",2.04551549881522
"297","FBgn0039617",2.04472690991169
"298","FBgn0025631",2.04377850181387
"299","FBgn0027788",2.04243876726977
"300","FBgn0038818",2.04177732324629
"301","FBgn0031725",2.03911938022646
"302","FBgn0034540",2.03909624700023
"303","FBgn0020637",2.0384645406029
"304","FBgn0032601",2.03807965965274
"305","FBgn0011288",2.03578256980572
"306","FBgn0031275",2.03410203339674
"307","FBgn0085428",2.02985189015687
"308","FBgn0032609",2.02828545937028
"309","FBgn0040505",2.02813276695806
"310","FBgn0041605",2.02370297965752
"311","FBgn0031850",2.01616326779544
"312","FBgn0033767",2.01293074885989
"313","FBgn0053284",2.01029470315525
"314","FBgn0028993",2.00779502015368
"315","FBgn0035245",2.00540455244274
"316","FBgn0035428",2.00388744167727
"317","FBgn0259145",1.99674022709021
"318","FBgn0051191",1.9947201312412
"319","FBgn0030706",1.99403665153748
"320","FBgn0263416",1.99361030476732
"321","FBgn0036947",1.99302976406206
"322","FBgn0051004",1.99038559356732
"323","FBgn0034731",1.9844384205371
"324","FBgn0031473",1.98395678426872
"325","FBgn0030810",1.9822102611477
"326","FBgn0038084",1.98109025117284
"327","FBgn0039474",1.98017695026828
"328","FBgn0029881",1.97946194498088
"329","FBgn0053202",1.97759882367797
"330","FBgn0263029",1.97465028889661
"331","FBgn0051140",1.97410810850469
"332","FBgn0263257",1.97129422718783
"333","FBgn0085380",1.97053664057085
"334","FBgn0036481",1.96813893139071
"335","FBgn0053517",1.9670556093815
"336","FBgn0013323",1.96237364576115
"337","FBgn0016123",1.96209592272766
"338","FBgn0033153",1.96093634686726
"339","FBgn0053512",1.96024936851084
"340","FBgn0004575",1.95464529431793
"341","FBgn0260006",1.95093459004638
"342","FBgn0033928",1.94935927848129
"343","FBgn0263177",1.94815523197289
"344","FBgn0261388",1.94568160566144
"345","FBgn0031747",1.94375718697048
"346","FBgn0035481",1.94302710905465
"347","FBgn0052600",1.94272078838914
"348","FBgn0051869",1.94266734239502
"349","FBgn0259140",1.93234734074285
"350","FBgn0052432",1.93089954527781
"351","FBgn0015400",1.93000196968868
"352","FBgn0012034",1.92697862630515
"353","FBgn0015773",1.92679500708628
"354","FBgn0263456",1.9239628823815
"355","FBgn0083991",1.92225335894045
"356","FBgn0036786",1.92153599566731
"357","FBgn0036713",1.92063168147283
"358","FBgn0052681",1.91718230185354
"359","FBgn0031468",1.9160554947404
"360","FBgn0038092",1.90993362763932
"361","FBgn0014388",1.90794762900328
"362","FBgn0036764",1.90771620819605
"363","FBgn0037993",1.9074809830898
"364","FBgn0031945",1.90661514623245
"365","FBgn0085223",1.90580196267715
"366","FBgn0024232",1.90319053179691
"367","FBgn0036040",1.89678302109974
"368","FBgn0034693",1.89430418954133
"369","FBgn0004595",1.89263701041107
"370","FBgn0030358",1.89155131071498
"371","FBgn0260933",1.89004660933431
"372","FBgn0044048",1.88950337548566
"373","FBgn0260011",1.88823548549201
"374","FBgn0026602",1.88565601042531
"375","FBgn0035948",1.88556827021834
"376","FBgn0019985",1.88537903685372
"377","FBgn0037521",1.88512489868644
"378","FBgn0039694",1.87798081765514
"379","FBgn0085421",1.87687662528411
"380","FBgn0263111",1.87639562368305
"381","FBgn0030665",1.87539316968551
"382","FBgn0259927",1.8694930187724
"383","FBgn0000114",1.8683175563085
"384","FBgn0259146",1.86695487264901
"385","FBgn0263072",1.86458833797004
"386","FBgn0030897",1.86047239660726
"387","FBgn0038641",1.85543620867838
"388","FBgn0032498",1.85501010056008
"389","FBgn0003715",1.85444018760524
"390","FBgn0263508",1.84928402230177
"391","FBgn0262945",1.84302492334813
"392","FBgn0033033",1.84062443737543
"393","FBgn0039915",1.83748061520391
"394","FBgn0261514",1.83279860966718
"395","FBgn0032140",1.82645791506051
"396","FBgn0259241",1.82432875972367
"397","FBgn0039420",1.82419679369795
"398","FBgn0035086",1.82070931569383
"399","FBgn0035903",1.82064102210027
"400","FBgn0000014",1.81947986738334
"401","FBgn0029766",1.81719495192963
"402","FBgn0035170",1.81467983984161
"403","FBgn0004622",1.81286204486911
"404","FBgn0028481",1.81079441150323
"405","FBgn0028341",1.80499256246241
"406","FBgn0003205",1.80359143864352
"407","FBgn0053970",1.80213329905385
"408","FBgn0033090",1.80039809551672
"409","FBgn0262477",1.79857558311672
"410","FBgn0036665",1.79687854935828
"411","FBgn0038431",1.79489027406147
"412","FBgn0002778",1.79390518457435
"413","FBgn0026593",1.79008204513508
"414","FBgn0030182",1.78748098232066
"415","FBgn0039530",1.78542079316575
"416","FBgn0002930",1.78239953037604
"417","FBgn0264001",1.78213495949522
"418","FBgn0033252",1.77698117551231
"419","FBgn0011676",1.77388218345631
"420","FBgn0052495",1.75783469992999
"421","FBgn0262888",1.75751167411034
"422","FBgn0039647",1.75664148180665
"423","FBgn0040532",1.75555026514132
"424","FBgn0028886",1.75262121597889
"425","FBgn0243512",1.75248542294479
"426","FBgn0262904",1.7469389843906
"427","FBgn0036145",1.74676019103093
"428","FBgn0029746",1.74618289716878
"429","FBgn0025390",1.7427847849679
"430","FBgn0053547",1.73973803906769
"431","FBgn0083963",1.73927348545002
"432","FBgn0038088",1.73909629663091
"433","FBgn0031971",1.73846073890763
"434","FBgn0032452",1.73762459105079
"435","FBgn0263655",1.72935116544344
"436","FBgn0260658",1.72602492122161
"437","FBgn0051354",1.72597137702102
"438","FBgn0038292",1.72500631979519
"439","FBgn0035023",1.72313972890305
"440","FBgn0001319",1.71737895191874
"441","FBgn0259821",1.71386950646406
"442","FBgn0259222",1.71334585648543
"443","FBgn0034950",1.71127311345712
"444","FBgn0033591",1.71097612211368
"445","FBgn0031765",1.71009948488295
"446","FBgn0001257",1.70743747298109
"447","FBgn0030613",1.70644143059261
"448","FBgn0034647",1.70171911896651
"449","FBgn0028370",1.6992078572994
"450","FBgn0028906",1.69769911007222
"451","FBgn0035697",1.69627323063817
"452","FBgn0036560",1.69591906500192
"453","FBgn0011276",1.69349277612204
"454","FBgn0013767",1.69223955304834
"455","FBgn0051464",1.69060829404351
"456","FBgn0052085",1.6904433533868
"457","FBgn0037676",1.68801908267503
"458","FBgn0051522",1.68669436146423
"459","FBgn0262869",1.68456779425969
"460","FBgn0038282",1.67950225864556
"461","FBgn0036844",1.67894067028522
"462","FBgn0031993",1.67588361655595
"463","FBgn0036228",1.66981353030478
"464","FBgn0039754",1.66840680374446
"465","FBgn0013342",1.66835032821523
"466","FBgn0030385",1.66770484336588
"467","FBgn0035041",1.66314724334438
"468","FBgn0026438",1.65952082419436
"469","FBgn0083950",1.65774038138547
"470","FBgn0031858",1.65620121402083
"471","FBgn0052057",1.65593343128663
"472","FBgn0263316",1.65585745291583
"473","FBgn0052206",1.65339046808704
"474","FBgn0016078",1.65224411947727
"475","FBgn0030189",1.65209495222505
"476","FBgn0033054",1.65053734122006
"477","FBgn0034566",1.65015400786812
"478","FBgn0051530",1.64891337303679
"479","FBgn0027793",1.64808269887273
"480","FBgn0052625",1.64583506685048
"481","FBgn0034716",1.64295983845465
"482","FBgn0032497",1.64073632073573
"483","FBgn0002561",1.63968371829018
"484","FBgn0063493",1.63838622249242
"485","FBgn0010399",1.63613352305469
"486","FBgn0263250",1.63459093315151
"487","FBgn0082926",1.63361769840617
"488","FBgn0028863",1.63343460627838
"489","FBgn0031630",1.63110175061777
"490","FBgn0035676",1.63094790720235
"491","FBgn0040318",1.62792397055252
"492","FBgn0032338",1.62558671686062
"493","FBgn0036168",1.62545182249131
"494","FBgn0039209",1.62393542849269
"495","FBgn0033926",1.62387951901732
"496","FBgn0039294",1.62065922105294
"497","FBgn0031762",1.61918824506241
"498","FBgn0033958",1.61858154963774
"499","FBgn0051279",1.61518655982766
"500","FBgn0013972",1.61017283123912
"501","FBgn0028374",1.60920129757576
"502","FBgn0041723",1.6091325739744
"503","FBgn0000557",1.6073744181353
"504","FBgn0036986",1.60653337996018
"505","FBgn0035359",1.60634542637471
"506","FBgn0259994",1.60601610774838
"507","FBgn0052183",1.60576294675126
"508","FBgn0036179",1.60404135018846
